timestamp,gryox,gryoy,gryoz,accelx,accely,accelz,x,y,z,w,roll,pitch,yaw
,0.401733,0.266113,-0.264404,0.835327,0.780564,0.716863,-0.30715,-0.643555,0.532227,0.532227
87629567269,-1.875,-0.3125,-2.125,0.401611,0.265991,-0.264465,0.835449,0.78019,0.716658,-0.307541,-0.651367,0.534668,0.52832
87629568058,-1.0625,-1.5625,-0.5625,0.401794,0.265625,-0.264526,0.835449,0.780542,0.716041,-0.307788,-0.647461,0.537598,0.518555
87629589087,0.8125,-1.875,0.4375,0.401978,0.265381,-0.264587,0.835449,0.780954,0.715693,-0.307964,-0.647949,0.53418,0.523926
87629611543,0.5625,-1.3125,-0.1875,0.401917,0.265381,-0.264587,0.835449,0.780766,0.715651,-0.308004,-0.651855,0.524414,0.535645
87629634002,0,-0.625,0.8125,0.401672,0.26532,-0.264526,0.835571,0.780109,0.715365,-0.308131,-0.664551,0.519043,0.543945
87629680845,-0.8125,-0.8125,1,0.401794,0.265015,-0.264343,0.835693,0.780518,0.714666,-0.307846,-0.651367,0.522949,0.531738
87629682940,0.6875,-1,2.0625,0.401917,0.264954,-0.264099,0.835754,0.78103,0.7144,-0.307223,-0.644043,0.524902,0.530273
87629701491,-0.25,0.375,1.6875,0.401794,0.265137,-0.263855,0.835815,0.780913,0.714502,-0.306619,-0.64209,0.523438,0.53125
87629727134,-1.25,1.5625,0.4375,0.401611,0.265381,-0.263733,0.835876,0.780579,0.714828,-0.306329,-0.644531,0.528809,0.530762
87629728025,-1.5625,1.0625,-0.75,0.401367,0.26593,-0.263733,0.835815,0.780054,0.715831,-0.306128,-0.659668,0.522461,0.526367
87629822066,-1.6875,1.8125,-1.1875,0.401367,0.266235,-0.263672,0.835693,0.780144,0.716356,-0.305712,-0.646484,0.512207,0.531738
87629851969,0,2.25,-0.0625,0.401184,0.266479,-0.263367,0.835815,0.779948,0.716531,-0.304999,-0.645996,0.519043,0.537109
87629891698,-1.5625,1.8125,0.75,0.400818,0.266541,-0.262939,0.836121,0.779299,0.716172,-0.304331,-0.661621,0.536133,0.547852
87629892301,-3.125,0.625,1.5625,0.401001,0.266174,-0.262268,0.836365,0.7802,0.714947,-0.302887,-0.648438,0.54541,0.529785
87629894049,-0.875,-0.4375,3.75,0.401245,0.265747,-0.261536,0.836548,0.781241,0.713521,-0.301248,-0.651367,0.547852,0.525879
