timestamp,gryox,gryoy,gryoz,accelx,accely,accelz,x,y,z,w,roll,pitch,yaw
,0.368652,-0.371582,-0.848877,-0.0744629,0.905353,0.749427,-2.93873,-0.680664,0.556641,0.475098
106657197291,2.625,0.3125,1.6875,0.368042,-0.371948,-0.848938,-0.074585,0.905536,0.748272,-2.93947,-0.691406,0.562988,0.493164
106657220949,4.1875,-1.75,2.75,0.366882,-0.372314,-0.849243,-0.074707,0.905077,0.746091,-2.94103,-0.699707,0.559082,0.506348
106657235946,4.75,-4.25,4.4375,0.365601,-0.37262,-0.84967,-0.0748901,0.904307,0.743803,-2.94302,-0.70459,0.544922,0.509277
106657257307,4.625,-5.875,5.0625,0.364197,-0.372803,-0.850159,-0.0754395,0.902821,0.74164,-2.94609,-0.708496,0.55127,0.512207
106657280895,4.875,-7.1875,3.625,0.363098,-0.372742,-0.850586,-0.0759888,0.90101,0.740072,-2.94892,-0.711914,0.559082,0.498535
106657303439,2.5625,-7.1875,2.25,0.362305,-0.372253,-0.851074,-0.0765381,0.898391,0.739176,-2.95176,-0.703125,0.565918,0.481934
106657357451,-0.5625,-6.125,-0.0625,0.362,-0.371826,-0.851379,-0.0772095,0.896458,0.73936,-2.95416,-0.705078,0.573242,0.456543
106657358263,-1.3125,-4.8125,-2.0625,0.362061,-0.371704,-0.851318,-0.0779419,0.895689,0.740152,-2.95576,-0.692383,0.578125,0.428711
106657359105,-0.25,-3.25,-3.3125,0.362366,-0.371765,-0.851074,-0.0786133,0.895735,0.741306,-2.95669,-0.671387,0.583496,0.42334
106657370518,0.1875,-1.25,-4.5,0.362732,-0.372009,-0.850769,-0.0793457,0.896343,0.742642,-2.95752,-0.666016,0.594727,0.429688
106657385630,1.1875,-0.0625,-5.3125,0.363098,-0.37207,-0.850464,-0.0801392,0.896361,0.744003,-2.9586,-0.652344,0.588379,0.433105
106657409236,0.875,0.4375,-6.4375,0.363464,-0.372375,-0.850098,-0.0810547,0.897003,0.745482,-2.95975,-0.660645,0.592285,0.430176
106657430266,2.3125,-0.0625,-6.5,0.363586,-0.373047,-0.849731,-0.0817871,0.898526,0.746294,-2.9605,-0.645996,0.60498,0.426758
106657454442,3.125,-0.125,-5.3125,0.36322,-0.373779,-0.849487,-0.0822754,0.899775,0.745865,-2.96127,-0.635742,0.602539,0.445801
106657498632,4,-1.25,-3.25,0.362671,-0.374512,-0.849365,-0.0825195,0.900994,0.744888,-2.96181,-0.626465,0.609863,0.449707
106657499306,3.125,-1.25,-2.25,0.362183,-0.375183,-0.849304,-0.0824585,0.902342,0.743788,-2.96169,-0.629395,0.607422,0.449219
106657507928,2.25,-0.75,-0.75,0.361816,-0.375732,-0.849243,-0.0820923,0.903676,0.742633,-2.96083,-0.637207,0.608887,0.450684
106657528691,1.375,0.375,0.625,0.361633,-0.376282,-0.849182,-0.0814819,0.905413,0.74165,-2.95924,-0.656738,0.60498,0.455078
106657550236,0.5625,1.5,2.5,0.36145,-0.376709,-0.849121,-0.0806885,0.90689,0.740453,-2.95731,-0.659668,0.603516,0.453125
