timestamp,gryox,gryoy,gryoz,accelx,accely,accelz,x,y,z,w,roll,pitch,yaw
,0.287415,-0.286438,-0.907288,0.110657,0.715881,0.475905,-2.71797,-0.469727,0.565918,0.6875
106997574483,-2.4375,10.25,0.625,0.289185,-0.285156,-0.907043,0.111328,0.714874,0.47925,-2.7154,-0.476562,0.570312,0.68457
106997595935,-5,11,-0.3125,0.290955,-0.28363,-0.90686,0.112122,0.71339,0.482628,-2.71272,-0.474121,0.560059,0.666504
106997619626,-7.125,11.5,-0.0625,0.292664,-0.282166,-0.906616,0.113037,0.712036,0.485756,-2.70976,-0.46875,0.553223,0.660645
106997634636,-6.8125,11.0625,0.4375,0.294189,-0.281067,-0.906372,0.113953,0.711378,0.488423,-2.70688,-0.474121,0.566406,0.674805
106997655953,-5.25,10.4375,1.125,0.295471,-0.28009,-0.906128,0.11499,0.710825,0.490485,-2.70391,-0.470215,0.555176,0.675781
106997679651,-4.375,9.8125,2.5,0.296631,-0.279053,-0.905945,0.11615,0.710099,0.492282,-2.70088,-0.465332,0.554199,0.693848
106997733635,-4.5,10,2.625,0.297852,-0.277588,-0.905823,0.117371,0.708492,0.494328,-2.69783,-0.472656,0.539551,0.692383
106997734443,-6,10.5,2.9375,0.29895,-0.275818,-0.905823,0.118713,0.70616,0.49622,-2.69484,-0.471191,0.524414,0.692383
106997740197,-7.5,9.9375,3.4375,0.299866,-0.274231,-0.905823,0.119995,0.704045,0.497736,-2.69206,-0.476562,0.517578,0.697266
106997755321,-6.375,8.875,4.4375,0.30072,-0.272949,-0.905701,0.121704,0.702764,0.498703,-2.68831,-0.463379,0.525879,0.687988
106997776612,-6.0625,9.375,5.875,0.301575,-0.271667,-0.905579,0.123474,0.701527,0.499642,-2.68445,-0.46875,0.526855,0.692383
106997794903,-6.5,9.375,6.625,0.302185,-0.270325,-0.905518,0.125183,0.699883,0.500185,-2.68095,-0.477051,0.519531,0.696289
106997822236,-6.1875,7.9375,7.125,0.302368,-0.269043,-0.90564,0.126526,0.697812,0.500189,-2.67865,-0.459473,0.496582,0.690918
106997860957,-5.25,5.5,5.625,0.30249,-0.267761,-0.905884,0.127441,0.69551,0.50042,-2.67737,-0.463379,0.508301,0.688477
106997861742,-5.1875,3.9375,3.4375,0.302795,-0.265991,-0.906189,0.128357,0.692288,0.50122,-2.67613,-0.479004,0.517578,0.679688
106997873952,-8.75,3.6875,2.3125,0.302917,-0.263977,-0.906616,0.129211,0.688316,0.501843,-2.67531,-0.478027,0.510742,0.674805
106997896238,-10.6875,2.9375,1.9375,0.30304,-0.262573,-0.90686,0.130005,0.685674,0.502203,-2.67428,-0.473633,0.519043,0.666992
106997911446,-7.75,2.4375,2,0.303284,-0.261414,-0.906921,0.130981,0.683759,0.502512,-2.67253,-0.472168,0.536133,0.692871
106997935392,-6.25,4.4375,3,0.30365,-0.260315,-0.906982,0.132202,0.682259,0.502915,-2.67027,-0.467285,0.524902,0.713379
106997956493,-5.25,6.0625,4.25,0.304321,-0.258545,-0.907043,0.133728,0.679687,0.503982,-2.66734,-0.462891,0.530762,0.726562
106997972873,-8.5,9.625,3.6875,0.305603,-0.254639,-0.90741,0.135559,0.67309,0.507023,-2.66422,-0.498047,0.526367,0.812012
106997995403,-17.4375,15.5,1.5,0.30719,-0.246521,-0.908875,0.137451,0.657518,0.512807,-2.66308,-0.596191,0.474121,0.936523
106998016513,-34.1875,18.25,-2.0625,0.308716,-0.234558,-0.911255,0.139221,0.633292,0.520515,-2.66439,-0.644043,0.442383,1.04883
106998032293,-51.25,20.6875,-8.1875,0.311401,-0.220154,-0.913635,0.140869,0.60467,0.531688,-2.6662,-0.628906,0.446289,1.07275
106998055400,-64.125,30.625,-16.5625,0.316284,-0.201965,-0.915833,0.143311,0.570146,0.548537,-2.66672,-0.671387,0.438477,1.18848
106998077863,-82.0625,49.0625,-22.4375,0.32489,-0.179321,-0.91687,0.1474,0.530064,0.573887,-2.66303,-0.833496,0.291504,1.27002
106998092331,-114.688,68.125,-27.125,0.335083,-0.151855,-0.917603,0.150635,0.479941,0.605528,-2.66363,-0.901367,0.210938,1.23535
106998122891,-137.062,79.625,-41.3125,0.346863,-0.124023,-0.916992,0.153015,0.429379,0.641236,-2.66633,-0.92627,0.276367,1.06299
106998152173,-137.375,88.625,-48.25,0.359558,-0.0933838,-0.915039,0.157349,0.373885,0.679793,-2.66748,-1.03125,0.169434,0.990234
106998158967,-154.562,98.3125,-42.5,0.372375,-0.0582886,-0.911804,0.162842,0.30779,0.72093,-2.67129,-1.05273,0.100586,0.944824
106998175431,-179.75,106.438,-44.3125,0.385315,-0.0216675,-0.907471,0.166199,0.234053,0.764425,-2.68493,-1.03125,0.102051,0.768066
106998197950,-184.062,108.875,-59.3125,0.397766,0.0136108,-0.901917,0.167969,0.158315,0.806799,-2.70571,-1.16113,0.0117188,0.484375
106998218787,-174.375,103.25,-62.5,0.407471,0.0476685,-0.895813,0.170837,0.080949,0.842519,-2.7284,-1.30762,-0.22168,0.260742
106998235455,-170.875,85.1875,-52.0625,0.412476,0.0725098,-0.891235,0.174133,0.0221847,0.864049,-2.74547,-1.3125,-0.466309,0.206543
106998257942,-126.312,47.6875,-28.625,0.422607,0.0853271,-0.885803,0.171814,-0.00946484,0.8915,-2.76297,-1.24756,-0.46875,0.0834961
106998286657,-31.4375,27.75,-7.25,0.436951,0.0874023,-0.876465,0.182373,0.0102272,0.923676,-2.72621,-1.27686,-0.0629883,-0.699707
106998295410,-23,-0.0625,69.5,0.424622,0.0831299,-0.875671,0.214417,0.058285,0.893559,-2.63338,-1.70947,-0.307129,-0.754395
106998318007,-72.3125,-80.6875,166.312,0.402527,0.0587769,-0.872864,0.26947,0.169252,0.824752,-2.46852,-1.87061,-0.132324,-0.413086
106998338954,-40.375,-160.5,328.812,0.357483,0.0270386,-0.865906,0.348755,0.266126,0.691837,-2.27935,-1.99463,0.807617,0.0302734
106998361437,-96.4375,-286.188,467.5,0.296936,-0.0228271,-0.848694,0.437073,0.347889,0.50529,-2.09979,-1.32959,0.37207,-0.375
106998377925,-62.8125,-404,573.25,0.22467,-0.0705566,-0.827332,0.51001,0.371046,0.304467,-1.97921,3.45996,-1.38232,-0.554199
106998399107,-70.875,-427.938,502,0.181396,-0.111694,-0.812012,0.543396,0.394496,0.174082,-1.92724,2.61377,0.62793,-0.0541992
106998421710,31.75,-292.812,274.125,0.126831,-0.124023,-0.785828,0.592468,0.352967,0.0523988,-1.84022,1.6001,-0.0356445,-0.621582
106998437964,-147.25,-234.625,358.812,0.0697632,-0.10321,-0.770813,0.624817,0.248909,-0.0214282,-1.782,0.70752,-1.96582,-0.078125
106998459008,-301.188,-152.75,222.312,0.0604248,-0.108459,-0.770325,0.625427,0.245355,-0.0425865,-1.78291,0.138184,-1.8833,1.2959
106998483026,-10,-59.3125,11.9375,0.0726929,-0.139465,-0.772522,0.615234,0.310425,-0.0593289,-1.80583,0.286133,0.460449,1.13477
106998498008,181.438,-60.5,-50.6875,0.0690918,-0.165588,-0.773499,0.607849,0.348711,-0.0945616,-1.82614,0.819336,1.31543,0.950195
106998527187,41.0625,-66.0625,-33.625,0.0476685,-0.159912,-0.77533,0.60907,0.313403,-0.121174,-1.82896,0.68457,0.307617,1.12207
106998535439,-101.125,-65.75,13.875,0.0197754,-0.151611,-0.774292,0.614075,0.265367,-0.156212,-1.82146,0.601562,-0.424316,1.12988
106998558002,-85.4375,-62.0625,33.375,0.010498,-0.157288,-0.775513,0.611389,0.26392,-0.176967,-1.82999,0.634766,-0.319336,1.30859
106998581148,37.25,-37.0625,-22.4375,0.0169678,-0.175476,-0.776489,0.60498,0.302852,-0.187058,-1.84647,0.481934,0.446289,1.12939
106998595496,96.6875,-23.625,-40.6875,0.0161133,-0.187134,-0.7771,0.600708,0.322126,-0.201136,-1.85826,0.521484,0.757812,1.11084
106998617886,23.4375,-29.875,-19.625,0.00427246,-0.18573,-0.777893,0.600342,0.305971,-0.21808,-1.86083,0.606445,0.259277,1.18848
106998638820,-40.0625,-26.5625,-0.6875,-0.00305176,-0.182861,-0.778625,0.600281,0.292603,-0.226213,-1.86156,0.4375,-0.0483398,1.1333
106998655503,-13.375,-12.125,-4.625,-0.00482178,-0.183899,-0.779602,0.598633,0.292704,-0.229709,-1.8659,0.394043,0.101074,1.08789
106998677889,12.4375,-4.8125,-15.0625,-0.00561523,-0.187439,-0.780945,0.595825,0.298514,-0.234269,-1.87354,0.458496,0.36377,1.07275
106998699214,9.5625,-6.1875,-19.8125,-0.00793457,-0.188904,-0.781677,0.59436,0.298694,-0.239234,-1.87758,0.486816,0.34082,1.01514
106998721668,-4.1875,-1.875,-10.8125,-0.0111084,-0.186707,-0.782959,0.593323,0.291629,-0.241284,-1.88029,0.472168,0.272461,0.938965
106998738004,-21.5,7.4375,-9.9375,-0.0158691,-0.180664,-0.785645,0.591553,0.276499,-0.241006,-1.88457,0.458984,0.0112305,0.760254
106998759177,-32.875,14.75,-20.1875,-0.0196533,-0.173523,-0.790527,0.587036,0.26147,-0.237014,-1.89546,0.462891,-0.191895,0.624512
