timestamp,gryox,gryoy,gryoz,accelx,accely,accelz,x,y,z,w,roll,pitch,yaw
,0.366943,-0.400513,-0.831543,-0.116516,0.956059,0.780438,-3.00023,-0.724609,0.543945,0.472656
106652164652,3.6875,2.4375,1.5625,0.366577,-0.400085,-0.831848,-0.117004,0.954055,0.780306,-3.00237,-0.72998,0.519043,0.497559
106652195759,3.625,-0.25,1.9375,0.365784,-0.399353,-0.832397,-0.117981,0.950314,0.77987,-3.00657,-0.746582,0.515137,0.517578
106652202114,4.125,-3.8125,0.875,0.364563,-0.398682,-0.833069,-0.119324,0.946011,0.778984,-3.01216,-0.759766,0.526367,0.526855
106652225889,4.75,-7.1875,0,0.363037,-0.397705,-0.833984,-0.12085,0.940364,0.777724,-3.01896,-0.763184,0.523926,0.524414
106652248300,3.3125,-9.8125,-0.0625,0.361267,-0.396606,-0.835022,-0.12262,0.93395,0.776232,-3.02677,-0.768066,0.522949,0.524902
106652263371,2.6875,-12.5,-0.875,0.359375,-0.395691,-0.835938,-0.124573,0.927799,0.774578,-3.03488,-0.755859,0.557129,0.505859
106652284584,2.3125,-13.9375,-3.125,0.35791,-0.394897,-0.83667,-0.126343,0.922662,0.773565,-3.04183,-0.765625,0.589844,0.464844
106652308385,0.125,-13.625,-4.625,0.356812,-0.394226,-0.837219,-0.12793,0.91843,0.773055,-3.04769,-0.750488,0.588379,0.438965
106652338709,-1,-11.875,-5.25,0.355896,-0.393555,-0.837708,-0.129578,0.914384,0.772971,-3.05345,-0.728516,0.583984,0.435059
106652348839,-0.9375,-10.5625,-6.4375,0.355042,-0.392761,-0.838135,-0.131348,0.909928,0.77305,-3.05948,-0.698242,0.580566,0.424805
106652367780,-1.5,-10.25,-8.75,0.354248,-0.39209,-0.838501,-0.133057,0.905945,0.77318,-3.06515,-0.660645,0.602539,0.395508
106652382095,-3.25,-10,-10.875,0.353577,-0.391663,-0.838806,-0.134399,0.903088,0.77322,-3.06959,-0.653809,0.644531,0.361816
106652405795,-5.1875,-9.6875,-11.375,0.352966,-0.391785,-0.838867,-0.135071,0.902302,0.77263,-3.07177,-0.649902,0.652344,0.338379
106652427202,-4.6875,-8.1875,-7.875,0.352051,-0.392517,-0.838989,-0.13501,0.903542,0.770816,-3.07211,-0.606934,0.64209,0.344727
106652474625,-2.75,-6.1875,-3.6875,0.351135,-0.393494,-0.838928,-0.134583,0.905653,0.768516,-3.07126,-0.574219,0.63623,0.351074
106652475410,-1.125,-3.3125,-2.375,0.350647,-0.394348,-0.838867,-0.133789,0.908152,0.766768,-3.06921,-0.574219,0.625,0.359375
106652487657,-2,0.125,-0.875,0.350708,-0.395386,-0.838562,-0.132446,0.912106,0.765525,-3.06497,-0.587402,0.614258,0.355469
106652510085,-2.125,3.6875,1.625,0.351318,-0.396545,-0.838074,-0.130493,0.917406,0.764747,-3.0585,-0.602539,0.608887,0.352051
106652526549,-2.3125,7.5,4.625,0.352356,-0.397705,-0.837463,-0.128174,0.923415,0.764424,-3.05063,-0.624512,0.592773,0.354492
106652548803,-2.4375,10.625,7.25,0.353638,-0.398682,-0.836853,-0.125549,0.929369,0.764247,-3.04194,-0.616699,0.583496,0.369141
106652573040,-2.75,13.25,7.9375,0.355103,-0.399658,-0.836182,-0.122864,0.93559,0.764349,-3.03286,-0.612305,0.582031,0.36377
106652586515,-3.0625,14.375,7.5,0.356567,-0.400757,-0.835388,-0.120117,0.942177,0.764283,-3.02344,-0.61084,0.597168,0.354492
106652609097,-3,14.875,7.4375,0.358337,-0.401611,-0.834656,-0.117126,0.948634,0.76461,-3.01336,-0.619141,0.579102,0.35791
106652630101,-3.6875,16.5,8.6875,0.359985,-0.402466,-0.833923,-0.114197,0.954916,0.764701,-3.00356,-0.619629,0.558105,0.378906
106652646569,-2.3125,16.8125,10,0.361511,-0.403625,-0.833069,-0.111511,0.961793,0.764734,-2.99413,-0.63916,0.557617,0.389648
106652669007,0.9375,16.4375,10.6875,0.363098,-0.404846,-0.832092,-0.109009,0.968798,0.764985,-2.98488,-0.681641,0.566406,0.40332
106652690147,2.6875,16.25,11,0.364624,-0.405884,-0.831299,-0.106506,0.97528,0.7652,-2.97602,-0.716309,0.570312,0.437012
106652706596,2.6875,16.0625,12.125,0.365967,-0.406128,-0.830872,-0.104126,0.979165,0.765253,-2.96851,-0.727051,0.551758,0.494629
106652729045,1.5625,16.5625,12.125,0.36731,-0.405762,-0.830688,-0.102417,0.980917,0.766132,-2.96317,-0.753906,0.532715,0.524414
106652750073,1.5625,14.8125,10,0.368896,-0.403503,-0.831177,-0.101562,0.977031,0.768695,-2.96138,-0.814941,0.511719,0.602051
106652766591,-4.125,13.75,4.9375,0.370789,-0.399475,-0.832275,-0.101746,0.967826,0.77328,-2.96341,-0.888672,0.509277,0.651367
106652789033,-9.9375,10.3125,-1.25,0.372437,-0.393738,-0.834229,-0.101746,0.953495,0.777523,-2.9674,-0.974609,0.57373,0.71582
106652810106,-19.9375,7.6875,-3.0625,0.37439,-0.38269,-0.838623,-0.10083,0.925055,0.782588,-2.97526,-1.18555,0.521973,0.949219
106652826602,-43.25,7.5,0.125,0.375183,-0.365295,-0.845947,-0.101013,0.876359,0.787469,-2.99483,-1.4502,0.417969,1.09277
106652849096,-70.8125,-13.5625,-0.5,0.375366,-0.344238,-0.854431,-0.102783,0.815514,0.792646,-3.02339,-1.5542,0.297852,1.10889
106652877749,-86.1875,-29.4375,-7.3125,0.373962,-0.322937,-0.863892,-0.0978394,0.758372,0.78853,-3.03858,-1.68213,0.224121,1.29395
