timestamp,gryox,gryoy,gryoz,accelx,accely,accelz,x,y,z,w,roll,pitch,yaw
,0.351868,-0.411377,-0.839966,-0.0391235,1.01307,0.672959,-2.85147,-0.545898,0.666504,0.330566
106754251638,-7.3125,-11.5625,-18.5,0.351074,-0.410889,-0.840393,-0.041687,1.00949,0.674284,-2.85825,-0.542969,0.730469,0.28418
106754272981,-6.125,-14.1875,-18,0.350403,-0.411621,-0.84021,-0.043335,1.00976,0.67449,-2.86189,-0.536621,0.766113,0.224609
106754289130,-4.625,-12.5,-13.8125,0.349792,-0.413635,-0.839417,-0.0440674,1.01398,0.673466,-2.86244,-0.528809,0.795898,0.221191
106754311591,0.5,-8.1875,-8.375,0.349487,-0.416626,-0.838135,-0.043457,1.02188,0.671353,-2.85902,-0.507324,0.777832,0.238281
106754332932,4.875,-0.5625,-1,0.34967,-0.419861,-0.836487,-0.0421753,1.03131,0.669259,-2.85322,-0.53418,0.754883,0.290039
106754347954,9.375,5.5625,4.0625,0.349731,-0.42334,-0.834717,-0.0413818,1.041,0.667329,-2.84837,-0.560059,0.713867,0.350586
106754371640,16.0625,5.9375,5.9375,0.349792,-0.426575,-0.83313,-0.0410767,1.04986,0.666056,-2.84485,-0.598145,0.702148,0.395996
106754418641,18.3125,5.6875,5.25,0.349854,-0.428345,-0.832153,-0.0410156,1.05466,0.665435,-2.84298,-0.620605,0.705566,0.422852
106754420769,11.75,4.25,2.8125,0.350037,-0.428955,-0.831787,-0.0405273,1.05674,0.665027,-2.84118,-0.630859,0.739258,0.423828
106754427261,2.8125,4.25,1.25,0.350403,-0.42865,-0.831848,-0.0392456,1.05699,0.664428,-2.83836,-0.640137,0.727539,0.402344
106754438579,-4.375,4.6875,3.8125,0.350952,-0.427917,-0.832092,-0.0378418,1.05641,0.664208,-2.83544,-0.637695,0.689941,0.399902
106754462209,-6.625,5.3125,4.6875,0.351685,-0.427002,-0.832275,-0.0365601,1.05549,0.664441,-2.83252,-0.605469,0.663086,0.381348
106754483645,-7.1875,6.25,2.8125,0.352844,-0.426392,-0.832153,-0.0354004,1.0559,0.665471,-2.82894,-0.595703,0.678223,0.349609
106754500174,-7.25,7.375,0.75,0.354675,-0.424988,-0.832153,-0.0341187,1.05515,0.667836,-2.82473,-0.606445,0.674316,0.345215
106754535305,-11.1875,10,-1.4375,0.356873,-0.423462,-0.832031,-0.0330811,1.05446,0.671135,-2.82049,-0.607422,0.650879,0.364258
106754545369,-9.75,12.375,-3.0625,0.359314,-0.422119,-0.831726,-0.0322876,1.0545,0.67508,-2.81619,-0.609863,0.634766,0.385742
106754560672,-6.5,14.4375,-3.75,0.361511,-0.420898,-0.831421,-0.0316772,1.05448,0.678726,-2.81249,-0.617676,0.647461,0.42334
106754581766,-4.0625,14.25,-4.1875,0.363037,-0.419983,-0.831238,-0.0310059,1.05442,0.681018,-2.80947,-0.652344,0.666016,0.453613
106754602961,-2.1875,11.5625,-1.1875,0.363831,-0.419312,-0.831238,-0.0299683,1.05419,0.681542,-2.80668,-0.679688,0.649902,0.47168
106754620721,-0.75,8.625,5.1875,0.36377,-0.418701,-0.831604,-0.0291138,1.05289,0.680786,-2.80566,-0.686523,0.633301,0.492188
106754643202,0.875,4.25,7.625,0.36322,-0.418213,-0.832092,-0.0285645,1.0511,0.67944,-2.80592,-0.69873,0.636719,0.508789
106754662985,2.3125,1.3125,7.875,0.36261,-0.417603,-0.832703,-0.0280762,1.0489,0.678135,-2.80656,-0.702148,0.638672,0.494629
106754680718,0.8125,-0.5,7.6875,0.362122,-0.416138,-0.833679,-0.0276489,1.04457,0.677437,-2.80788,-0.697754,0.623535,0.495117
106754707915,-3.8125,-1.0625,5.875,0.362,-0.413757,-0.8349,-0.0276489,1.03809,0.678141,-2.81023,-0.67334,0.595703,0.483398
106754722792,-8.1875,-0.8125,0.75,0.36261,-0.411011,-0.835999,-0.027832,1.03153,0.680474,-2.81213,-0.63623,0.613281,0.455078
106754746700,-11.4375,1.9375,-5,0.364075,-0.407593,-0.837036,-0.0276489,1.0245,0.684165,-2.81251,-0.633301,0.629883,0.436035
106754775726,-16.9375,6.125,-8.1875,0.365906,-0.403564,-0.838196,-0.0269165,1.01661,0.688172,-2.81175,-0.641113,0.616699,0.435059
106754785720,-21.1875,8.625,-7,0.367493,-0.399841,-0.839355,-0.0258789,1.00941,0.69139,-2.8106,-0.618652,0.598633,0.448242
106754806758,-19.8125,9.25,-4.8125,0.369202,-0.394958,-0.840942,-0.0238037,0.999829,0.694183,-2.80813,-0.638184,0.624512,0.516113
106754820491,-26.375,13.625,-3.0625,0.370667,-0.386841,-0.844116,-0.0211792,0.981705,0.697309,-2.808,-0.723633,0.554688,0.637207
106754842858,-40.3125,12.1875,-0.25,0.371704,-0.376282,-0.848511,-0.0181274,0.956922,0.70028,-2.81001,-0.796875,0.484863,0.719238
106754860715,-50.6875,9.1875,3.5,0.372742,-0.364258,-0.853394,-0.0141602,0.928979,0.702996,-2.81147,-0.898926,0.462891,0.747559
106754883212,-59.9375,7.4375,9.8125,0.374695,-0.348877,-0.859009,-0.00946045,0.894054,0.708023,-2.81304,-1.04834,0.399902,0.829102
106754902832,-75.875,9.375,11.9375,0.376892,-0.328735,-0.865967,-0.00518799,0.846967,0.715723,-2.81963,-1.21338,0.294434,0.929199
106754920715,-95.4375,4,8.5625,0.377014,-0.308411,-0.873352,0.00323486,0.800074,0.716218,-2.82031,-1.37061,0.236816,0.977051
106754941811,-126.062,-1.0625,7.8125,0.376404,-0.282776,-0.882202,0.0125732,0.740063,0.716856,-2.82458,-1.52539,0.124023,1.0459
106754962956,-156,-7.5625,4.4375,0.375732,-0.25293,-0.891296,0.0221558,0.670338,0.718917,-2.83164,-1.70898,0.110352,1.04346
106755002414,-179.312,-10.5625,-2.5,0.373901,-0.221985,-0.899963,0.0324097,0.59821,0.718965,-2.83892,-1.8833,0.21582,0.899414
106755004752,-188.562,-19,-1.0625,0.369385,-0.191711,-0.908142,0.0454712,0.528675,0.712164,-2.84086,-1.84033,0.475098,0.772461
106755022935,-195.875,-30.625,13.875,0.362366,-0.1604,-0.915588,0.0681152,0.463792,0.696718,-2.82196,-1.66943,0.638672,0.583008
106755040685,-225,-32.625,60.625,0.350342,-0.130249,-0.922424,0.09729,0.404463,0.669997,-2.78894,-1.44092,0.629395,0.562012
106755061765,-234.688,-50.6875,100.125,0.332947,-0.106018,-0.927673,0.131897,0.360046,0.630768,-2.74056,-1.35303,0.740234,0.57666
106755085737,-218.062,-75.3125,143.875,0.309814,-0.0893555,-0.929688,0.178101,0.335865,0.575474,-2.66278,-1.1748,1.10254,0.461426
106755100661,-207.938,-98.875,222.312,0.280701,-0.0787354,-0.92627,0.238953,0.325364,0.503371,-2.55235,-0.554199,0.898438,0.309082
106755121776,-204.188,-113.312,319.438,0.235535,-0.0664673,-0.920715,0.303955,0.293036,0.404234,-2.4434,0.199219,0.499512,0.541504
106755142939,-235.062,-179.125,349.5,0.1828,-0.0764771,-0.911682,0.359985,0.286087,0.281972,-2.3486,1.31543,0.303711,0.616211
