timestamp,gryox,gryoy,gryoz,accelx,accely,accelz,x,y,z,w,roll,pitch,yaw
,0.365356,-0.395935,-0.842102,-0.0264282,0.995932,0.689644,-2.81877,-0.755859,0.61084,0.460449
106730309694,-2.8125,7.9375,0.5,0.36731,-0.395142,-0.841614,-0.0263672,0.996426,0.693332,-2.81623,-0.766113,0.627441,0.463379
106730339698,-0.4375,8.5,0.75,0.368958,-0.39447,-0.841187,-0.0262451,0.996885,0.696361,-2.81391,-0.753418,0.611816,0.483398
106730362686,1.25,8.9375,2.0625,0.370178,-0.393799,-0.840942,-0.0263672,0.996656,0.698884,-2.81278,-0.736328,0.612793,0.512207
106730370859,2.625,7.5625,0.5,0.371033,-0.3927,-0.841064,-0.0272827,0.994388,0.701747,-2.81432,-0.740723,0.594238,0.528809
106730392219,2.6875,3.9375,-2.1875,0.37146,-0.391296,-0.841492,-0.0290527,0.990256,0.704821,-2.81861,-0.751465,0.566895,0.529297
106730407134,2.8125,-1.1875,-4.8125,0.371277,-0.389709,-0.842224,-0.0317383,0.984281,0.707761,-2.82595,-0.744141,0.541016,0.520996
106730430858,3.625,-6.75,-7.5,0.370544,-0.388,-0.843201,-0.0349731,0.976904,0.710253,-2.83543,-0.708008,0.530273,0.509277
106730460336,3.5,-10.875,-10.25,0.36969,-0.386169,-0.844299,-0.0383301,0.968966,0.712677,-2.84555,-0.669922,0.536621,0.483398
106730473168,0.8125,-12.375,-13.25,0.368835,-0.384277,-0.845337,-0.0415039,0.960903,0.714816,-2.85528,-0.641602,0.552246,0.453613
106730490344,-1.4375,-12.5625,-15,0.368103,-0.383118,-0.846069,-0.0444946,0.955105,0.716799,-2.86386,-0.602051,0.578125,0.419922
106730506137,-0.5625,-10.8125,-15.6875,0.367676,-0.382385,-0.846436,-0.0469971,0.951088,0.718651,-2.87046,-0.589844,0.595703,0.395996
106730528404,0.0625,-8.3125,-15.0625,0.367249,-0.382324,-0.846497,-0.0493164,0.948978,0.720099,-2.87602,-0.571289,0.620605,0.390625
106730549671,1.9375,-6.6875,-14.6875,0.36676,-0.382568,-0.846497,-0.0510864,0.947958,0.720833,-2.88025,-0.5625,0.643066,0.382812
106730596460,2,-5.8125,-12.8125,0.366211,-0.38324,-0.846375,-0.0523682,0.948323,0.720875,-2.88314,-0.561035,0.652344,0.375488
106730597063,2.0625,-5.0625,-9.8125,0.365234,-0.384338,-0.846252,-0.0532837,0.949532,0.719647,-2.88548,-0.558594,0.651367,0.384277
106730618501,4.5625,-5.375,-6.1875,0.364075,-0.386169,-0.845886,-0.053772,0.952747,0.717445,-2.88645,-0.552734,0.669922,0.368652
106730624965,6.4375,-5.3125,-3.25,0.362793,-0.388245,-0.845459,-0.053772,0.956749,0.714456,-2.88632,-0.571777,0.697266,0.379883
106730647571,6.4375,-4.5,-0.3125,0.361694,-0.390076,-0.845154,-0.0531006,0.960739,0.711276,-2.88484,-0.585449,0.709473,0.380859
106730671414,3.375,-3,2.3125,0.360962,-0.391541,-0.844849,-0.0519409,0.964446,0.708362,-2.8821,-0.612305,0.716309,0.383301
106730685894,0.8125,-1.0625,4.1875,0.360779,-0.392944,-0.84436,-0.050354,0.968899,0.706042,-2.87772,-0.640625,0.711914,0.370605
106730709127,-0.6875,1.375,6.4375,0.360962,-0.394653,-0.843567,-0.0485229,0.974743,0.704024,-2.87196,-0.651367,0.717285,0.35791
106730731577,0.3125,4,8,0.361511,-0.396606,-0.842529,-0.0465088,0.981805,0.70241,-2.86508,-0.654785,0.731445,0.360352
106730746009,1.8125,6.5625,8.375,0.362427,-0.398132,-0.841553,-0.0444946,0.988192,0.701589,-2.85808,-0.651367,0.721191,0.370117
106730769156,0.625,9,6.6875,0.36377,-0.399353,-0.840454,-0.0426636,0.994175,0.701729,-2.85098,-0.65332,0.713867,0.366211
106730791647,-0.375,10.75,5.0625,0.365417,-0.400208,-0.839417,-0.0407715,0.999636,0.702475,-2.84365,-0.643555,0.707031,0.363281
106730805931,-1.9375,12.5,3.75,0.367432,-0.400757,-0.83844,-0.0388184,1.00486,0.703974,-2.836,-0.62207,0.681641,0.352051
106730829145,-3.5,14.5625,2.5,0.369873,-0.401184,-0.837219,-0.0370483,1.01022,0.706343,-2.82797,-0.615723,0.668945,0.335938
106730851705,-3.0625,16.1875,0.9375,0.372559,-0.401489,-0.835938,-0.0349731,1.0158,0.708841,-2.81897,-0.600098,0.65332,0.32959
106730865988,-4.0625,18.4375,1.6875,0.375427,-0.401489,-0.834778,-0.0327148,1.02101,0.711626,-2.80964,-0.589355,0.635254,0.333496
106730896541,-5.5625,20.6875,1.375,0.378479,-0.401489,-0.833496,-0.0300903,1.02672,0.714293,-2.79916,-0.589844,0.630371,0.333984
106730911684,-5.3125,22.125,3,0.381165,-0.4021,-0.832092,-0.0270996,1.03384,0.715668,-2.78792,-0.583984,0.631348,0.342773
106730932888,-2.5,23.1875,6.625,0.383728,-0.402283,-0.830872,-0.0238037,1.0398,0.716579,-2.77656,-0.581055,0.597656,0.370605
106730949171,-2.875,23.75,8.875,0.385864,-0.402649,-0.829834,-0.0206909,1.04563,0.716924,-2.76626,-0.57959,0.584473,0.402344
106730979189,-0.375,22.9375,10.0625,0.387512,-0.403381,-0.828796,-0.0175171,1.05175,0.716129,-2.75629,-0.595703,0.580566,0.422363
106730992821,2.9375,21.4375,13.5,0.388733,-0.40387,-0.828003,-0.0141602,1.05663,0.714423,-2.74685,-0.649414,0.567383,0.454102
106731009177,2.75,19.375,17.75,0.389648,-0.404053,-0.827515,-0.0109253,1.06017,0.712475,-2.73855,-0.702637,0.535645,0.493164
106731031695,3.625,17.3125,21.6875,0.390564,-0.403137,-0.827637,-0.00805664,1.06064,0.71152,-2.7322,-0.751953,0.526855,0.544434
106731052759,0.5,16.25,19.875,0.391357,-0.401123,-0.828247,-0.0057373,1.05766,0.711386,-2.72806,-0.837402,0.560547,0.625
106731069054,-1.625,14.375,17.875,0.392456,-0.397522,-0.829468,-0.00323486,1.05105,0.712372,-2.7245,-0.956543,0.613281,0.698242
106731091677,-9.5,15.0625,17.5625,0.39447,-0.389709,-0.832214,0.000549316,1.03538,0.715692,-2.72072,-1.0708,0.625,0.797363
106731120445,-32.0625,19.875,16.0625,0.395996,-0.37793,-0.836914,0.0032959,1.00801,0.721269,-2.72371,-1.21436,0.580566,0.875488
